Chasson Randle\randlch01,WAS,869094,9.2
Thomas Bryant\bryanth01,WAS,1378242,21.4
Jeff Green\greenje02,WAS,2393887,13.9
Bobby Portis\portibo01,WAS,2494346,16.4
Troy Brown\browntr01,WAS,2749080,12.1
Sam Dekker\dekkesa01,WAS,2760095,15.8
Tomas Satoransky\satorto01,WAS,3129187,14.2
Dwight Howard\howardw01,WAS,5337000,17.4
Wesley Johnson\johnswe01,WAS,6134520,2.5
Trevor Ariza\arizatr01,WAS,15000000,12.9
Ian Mahinmi\mahinia01,WAS,15944154,12.4
John Wall\walljo01,WAS,19169800,18
Jabari Parker\parkeja01,WAS,20000000,15
Bradley Beal\bealbr01,WAS,25434263,20.5
Royce O'Neale\onealro01,UTA,1378242,9.7
Georges Niang\niangge01,UTA,1512601,11.9
Tony Bradley\bradlto01,UTA,1679520,-10.4
Grayson Allen\allengr01,UTA,2074320,4
Raul Neto\netora01,UTA,2150000,13.9
Donovan Mitchell\mitchdo01,UTA,3111480,16.5
Ekpe Udoh\udohek01,UTA,3360000,17.5
Thabo Sefolosha\sefolth01,UTA,5250000,12
Jae Crowder\crowdja01,UTA,7305825,11.7
Kyle Korver\korveky01,UTA,7560000,11.9
Dante Exum\exumda01,UTA,9600000,12.6
Joe Ingles\inglejo01,UTA,13045455,12.8
Ricky Rubio\rubiori01,UTA,14975000,13.4
Derrick Favors\favorde01,UTA,16900000,21.1
Rudy Gobert\goberru01,UTA,23241573,24.2
Jodie Meeks\meeksjo01,TOR,120904,15.9
Malcolm Miller\millema01,TOR,457418,11.6
Chris Boucher\bouchch01,TOR,457418,27.1
Jeremy Lin\linje01,TOT,697000,14.8
Patrick McCaw\mccawpa01,TOT,786000,6.8
Lorenzo Brown\brownlo01,TOR,800000,6.4
Pascal Siakam\siakapa01,TOR,1544951,18.5
OG Anunoby\anunoog01,TOR,1952760,9.5
Fred VanVleet\vanvlfr01,TOR,8653847,13.3
Norman Powell\powelno01,TOR,9367200,12.4
Danny Green\greenda02,TOR,10000000,11.8
Serge Ibaka\ibakase01,TOR,21666667,18.1
Kawhi Leonard\leonaka01,TOR,23114067,26.3
Marc Gasol\gasolma01,TOT,24119025,17.3
Kyle Lowry\lowryky01,TOR,31200000,17.1
Chimezie Metu\metuch01,SAS,838464,6
Derrick White\whitede01,SAS,1667160,14.8
Quincy Pondexter\pondequ01,SAS,2165481,13.5
Lonnie Walker\walkelo01,SAS,2357160,0.1
Dante Cunningham\cunnida01,SAS,2500000,10.9
Jakob Poeltl\poeltja01,SAS,2947320,19.1
